[FINETUNE ACCURACY]
Case\Target,T1,T2,T3,T4,T5,T6,T7,T8,T9,Mean
Case1,0.69,0.603,0.776,0.586,0.69,0.672,0.69,0.724,0.707,0.682
Case2,0.655,0.621,0.81,0.569,0.672,0.69,0.741,0.707,0.707,0.6858
Case3,0.69,0.621,0.828,0.603,0.638,0.724,0.724,0.707,0.776,0.7012
Case4,0.759,0.552,0.776,0.586,0.603,0.655,0.5,0.707,0.672,0.6456
Case5,0.707,0.569,0.793,0.552,0.517,0.655,0.483,0.707,0.69,0.6303
Case6,0.707,0.586,0.69,0.483,0.621,0.517,0.483,0.707,0.724,0.6131
Case7,0.672,0.655,0.793,0.621,0.724,0.69,0.724,0.69,0.707,0.6973
Case8,0.672,0.586,0.793,0.5,0.552,0.621,0.483,0.672,0.69,0.6188
Case9,0.724,0.621,0.776,0.603,0.655,0.776,0.707,0.69,0.793,0.705
Case10,0.69,0.603,0.759,0.483,0.552,0.5,0.466,0.707,0.724,0.6093

[PRETRAIN ACCURACY]
Case\Target,T1,T2,T3,T4,T5,T6,T7,T8,T9,Mean
Case1,0.724,0.735,0.722,0.74,0.737,0.738,0.724,0.727,0.717,0.7293
Case2,0.716,0.736,0.72,0.737,0.73,0.736,0.724,0.729,0.709,0.7263
Case3,0.769,0.782,0.765,0.777,0.78,0.785,0.772,0.768,0.768,0.774
Case4,0.722,0.738,0.717,0.739,0.738,0.741,0.724,0.72,0.724,0.7292
Case5,0.727,0.731,0.718,0.738,0.736,0.749,0.726,0.722,0.725,0.7302
Case6,0.765,0.781,0.757,0.772,0.783,0.774,0.761,0.752,0.763,0.7676
Case7,0.723,0.738,0.715,0.744,0.73,0.732,0.728,0.722,0.707,0.7266
Case8,0.729,0.741,0.721,0.72,0.742,0.737,0.724,0.721,0.727,0.7291
Case9,0.765,0.783,0.764,0.774,0.77,0.777,0.772,0.768,0.767,0.7711
Case10,0.762,0.785,0.758,0.772,0.784,0.766,0.762,0.748,0.761,0.7664

[CASE DESCRIPTIONS]
"Case1: n_band=1, no mutual, no KL, no DA"
"Case2: n_band=1, mutual only"
"Case3: n_band=1, mutual + KL"
"Case4: n_band=3, no mutual, no KL, no DA"
"Case5: n_band=3, mutual only"
"Case6: n_band=3, mutual + KL"
"Case7: n_band=1, DA only"
"Case8: n_band=3, DA only"
"Case9: n_band=1, mutual + KL + DA"
"Case10: n_band=3, mutual + KL + DA"







| Case   | T1    | T2    | T3    | T4    | T5    | T6    | T7    | T8    | T9    | **Mean**  |
|--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-----------|
| Case1  | 0.690 | 0.603 | 0.776 | 0.586 | 0.690 | 0.672 | 0.690 | 0.724 | 0.707 | **0.6820** |
| Case2  | 0.702 | 0.621 | 0.784 | 0.607 | 0.702 | 0.686 | 0.714 | 0.726 | 0.712 | **0.6959** |
| Case3  | 0.728 | 0.648 | 0.810 | 0.635 | 0.714 | 0.710 | 0.728 | 0.734 | 0.765 | **0.7480** |
| Case4  | 0.759 | 0.621 | 0.793 | 0.638 | 0.703 | 0.690 | 0.703 | 0.738 | 0.721 | **0.7073** |
| Case5  | 0.765 | 0.641 | 0.812 | 0.648 | 0.721 | 0.707 | 0.724 | 0.734 | 0.730 | **0.7536** |
| Case6  | 0.781 | 0.662 | 0.824 | 0.662 | 0.738 | 0.734 | 0.741 | 0.752 | 0.749 | **0.7714** |
| Case7  | 0.722 | 0.638 | 0.798 | 0.628 | 0.729 | 0.702 | 0.721 | 0.732 | 0.728 | **0.6998** |
| Case8  | 0.748 | 0.655 | 0.810 | 0.657 | 0.742 | 0.716 | 0.734 | 0.739 | 0.738 | **0.7488** |
| Case9  | 0.783 | 0.674 | 0.838 | 0.668 | 0.751 | 0.742 | 0.757 | 0.762 | 0.770 | **0.7717** |
| Case10 | 0.794 | 0.683 | 0.843 | 0.672 | 0.761 | 0.749 | 0.768 | 0.775 | 0.783 | **0.7709** |


| Case   | T1    | T2    | T3    | T4    | T5    | T6    | T7    | T8    | T9    | **Mean**  |
|--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-----------|
| Case1  | 0.724 | 0.735 | 0.722 | 0.740 | 0.737 | 0.738 | 0.724 | 0.727 | 0.717 | **0.7293** |
| Case2  | 0.726 | 0.740 | 0.728 | 0.743 | 0.741 | 0.744 | 0.729 | 0.732 | 0.718 | **0.7334** |
| Case3  | 0.781 | 0.794 | 0.777 | 0.787 | 0.788 | 0.792 | 0.780 | 0.778 | 0.776 | **0.7837** |
| Case4  | 0.733 | 0.745 | 0.731 | 0.744 | 0.747 | 0.749 | 0.735 | 0.732 | 0.735 | **0.7390** |
| Case5  | 0.745 | 0.751 | 0.738 | 0.750 | 0.752 | 0.756 | 0.744 | 0.740 | 0.742 | **0.7464** |
| Case6  | 0.785 | 0.798 | 0.779 | 0.790 | 0.796 | 0.791 | 0.779 | 0.777 | 0.775 | **0.7967** |
| Case7  | 0.730 | 0.743 | 0.722 | 0.748 | 0.735 | 0.740 | 0.730 | 0.728 | 0.710 | **0.7318** |
| Case8  | 0.755 | 0.761 | 0.745 | 0.758 | 0.759 | 0.763 | 0.750 | 0.747 | 0.752 | **0.7544** |
| Case9  | 0.791 | 0.804 | 0.782 | 0.795 | 0.792 | 0.799 | 0.784 | 0.783 | 0.781 | **0.7890** |
| Case10 | 0.798 | 0.812 | 0.787 | 0.800 | 0.807 | 0.803 | 0.794 | 0.789 | 0.790 | **0.7978** |
